epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1683,0.79136,2.60443,1.26681,0.00333,1,0.60569,0.44788,0.26893,2.87105,0.83496,2e-05,2e-05,2e-05
2,74.2684,0.72699,2.46113,1.14122,0.00333,1,0.80829,0.73208,0.22763,2.85832,0.78776,5.8812e-05,5.8812e-05,5.8812e-05
3,98.689,0.48134,2.279,1.05415,0.00333,1,0.995,0.9263,0.29353,2.83096,0.79686,9.604e-05,9.604e-05,9.604e-05
4,124.204,0.41675,1.93383,0.96422,0.00333,1,0.995,0.91767,0.32363,2.76128,0.81487,0.000131684,0.000131684,0.000131684
5,148.378,0.44059,1.65648,0.99057,0.00333,1,0.995,0.89813,0.3299,2.60655,0.87515,0.000165744,0.000165744,0.000165744
6,172.614,0.3958,1.20623,1.02011,0.00333,1,0.995,0.88291,0.43319,2.53173,1.04435,0.00019822,0.00019822,0.00019822
7,196.792,0.44408,1.11204,1.03942,0.00549,1,0.995,0.92563,0.37221,2.5,0.89145,0.000229112,0.000229112,0.000229112
8,220.729,0.40872,1.03072,0.99365,0.96963,1,0.995,0.94446,0.34447,2.17382,0.83892,0.00025842,0.00025842,0.00025842
9,245.651,0.45578,0.87383,1.00082,0.9653,1,0.995,0.92524,0.35811,2.13719,0.80472,0.000286144,0.000286144,0.000286144
10,268.75,0.48352,0.9711,1.05451,0.97778,1,0.995,0.89048,0.44139,2.31657,0.86319,0.000312284,0.000312284,0.000312284
11,294.142,0.50603,0.9418,1.06781,1,0.92624,0.995,0.88895,0.45638,2.41,0.88392,0.00033684,0.00033684,0.00033684
12,316.698,0.54313,0.95794,1.05527,0.9841,1,0.995,0.92567,0.39302,2.30377,0.83622,0.000359812,0.000359812,0.000359812
13,341.817,0.55681,0.94816,1.0601,0.97154,1,0.995,0.97221,0.31794,2.07129,0.78628,0.0003812,0.0003812,0.0003812
14,364.818,0.48073,0.99904,1.00783,0.98433,1,0.995,0.96978,0.29314,1.76732,0.77176,0.000401004,0.000401004,0.000401004
15,389.567,0.45077,0.86871,1.02174,0.988,1,0.995,0.95675,0.30932,1.6153,0.77342,0.000419224,0.000419224,0.000419224
16,412.545,0.38419,0.78097,0.93343,0.99123,1,0.995,0.93321,0.33578,1.62205,0.82075,0.00043586,0.00043586,0.00043586
17,437.204,0.44263,0.75494,1.04572,0.99082,1,0.995,0.93065,0.33129,1.58193,0.81963,0.000450912,0.000450912,0.000450912
18,460.01,0.42238,0.77212,0.97447,0.98722,1,0.995,0.95638,0.2717,1.70307,0.74849,0.00046438,0.00046438,0.00046438
19,484.514,0.43044,0.79799,1.04989,0.99041,1,0.995,0.98076,0.27003,1.68684,0.73257,0.000476264,0.000476264,0.000476264
20,507.436,0.38445,0.72684,0.93715,0.99336,1,0.995,0.98493,0.30069,1.60041,0.73061,0.000486564,0.000486564,0.000486564
21,532.173,0.5482,0.88,1.08076,0.99406,1,0.995,0.90774,0.40084,1.60374,0.76787,0.00049528,0.00049528,0.00049528
22,555.408,0.50967,0.85417,1.01951,0.9942,1,0.995,0.87522,0.43033,1.69484,0.80458,0.000502412,0.000502412,0.000502412
23,581.203,0.42049,0.69653,0.96961,0.99092,1,0.995,0.90721,0.42334,1.74708,0.83057,0.00050796,0.00050796,0.00050796
24,604.412,0.46348,0.76806,1.00523,0.99271,1,0.995,0.95559,0.3684,1.73385,0.80656,0.000511924,0.000511924,0.000511924
25,628.849,0.38466,0.71457,1.00663,0.99747,1,0.995,0.97273,0.30552,1.53818,0.78108,0.000514304,0.000514304,0.000514304
26,652.331,0.40443,0.662,0.99837,1,0.99134,0.995,0.9405,0.37718,1.71749,0.84708,0.0005151,0.0005151,0.0005151
27,676.912,0.38248,0.67706,0.93167,0.9109,1,0.98885,0.93358,0.3542,1.95421,0.82511,0.000514312,0.000514312,0.000514312
28,700.209,0.41005,0.84971,0.96727,0.9109,1,0.98885,0.93358,0.3542,1.95421,0.82511,0.00051194,0.00051194,0.00051194
29,724.33,0.44788,0.71147,0.98058,0.95456,1,0.995,0.89742,0.37188,1.74787,0.83324,0.000507984,0.000507984,0.000507984
30,747.91,0.52838,0.75003,1.0465,0.98546,1,0.995,0.875,0.45365,1.49263,0.89997,0.000502444,0.000502444,0.000502444
31,771.928,0.45712,0.68167,1.00143,0.98546,1,0.995,0.875,0.45365,1.49263,0.89997,0.00049532,0.00049532,0.00049532
32,795.629,0.35827,0.62437,0.92938,0.99273,1,0.995,0.84352,0.56851,1.51705,1.01827,0.000486612,0.000486612,0.000486612
33,819.649,0.45014,0.67298,0.97405,0.99271,1,0.995,0.84947,0.57886,1.49277,1.05243,0.00047632,0.00047632,0.00047632
34,843.413,0.44197,0.83707,1.02975,0.99271,1,0.995,0.84947,0.57886,1.49277,1.05243,0.000464444,0.000464444,0.000464444
35,867.343,0.38977,0.75544,1.01085,0.99214,1,0.995,0.93214,0.40047,1.386,0.81837,0.000450984,0.000450984,0.000450984
36,892.176,0.46278,0.76586,1.04825,0.99219,1,0.995,0.98218,0.30032,1.32425,0.74973,0.00043594,0.00043594,0.00043594
37,915.273,0.44775,0.61788,0.97711,0.99219,1,0.995,0.98218,0.30032,1.32425,0.74973,0.000419312,0.000419312,0.000419312
38,940.401,0.36967,0.62535,0.97126,0.99354,1,0.995,0.9743,0.27689,1.23571,0.74136,0.0004011,0.0004011,0.0004011
39,963.272,0.37012,0.67242,0.94793,0.99426,1,0.995,0.97592,0.3204,1.16171,0.77526,0.000381304,0.000381304,0.000381304
40,988.223,0.35545,0.60228,0.91271,0.99426,1,0.995,0.97592,0.3204,1.16171,0.77526,0.000359924,0.000359924,0.000359924
41,1011.33,0.28799,1.47362,0.99294,0.99459,1,0.995,0.98701,0.30017,1.16024,0.76417,0.00033696,0.00033696,0.00033696
42,1036.75,0.30997,1.32572,0.95606,0.99416,1,0.995,0.96919,0.40086,1.26417,0.84604,0.000312412,0.000312412,0.000312412
43,1059.98,0.29853,1.25663,0.9441,0.99416,1,0.995,0.96919,0.40086,1.26417,0.84604,0.00028628,0.00028628,0.00028628
44,1084.53,0.37082,1.14112,0.97383,0.99455,1,0.995,0.91559,0.4699,1.29874,0.89192,0.000258564,0.000258564,0.000258564
45,1107.39,0.29893,1.10012,0.95131,0.99455,1,0.995,0.91559,0.4699,1.29874,0.89192,0.000229264,0.000229264,0.000229264
46,1131.64,0.37413,1.05643,0.96715,0.99478,1,0.995,0.9801,0.34113,1.31585,0.80365,0.00019838,0.00019838,0.00019838
47,1154.62,0.33988,1.06207,0.9714,0.99478,1,0.995,0.9801,0.34113,1.31585,0.80365,0.000165912,0.000165912,0.000165912
48,1179.08,0.32728,1.07192,0.98307,0.99529,1,0.995,0.995,0.26996,1.28186,0.75176,0.00013186,0.00013186,0.00013186
49,1202.26,0.38763,1.10722,1.13561,0.99529,1,0.995,0.995,0.26996,1.28186,0.75176,9.6224e-05,9.6224e-05,9.6224e-05
50,1226.79,0.32921,0.98213,1.04684,0.99555,1,0.995,0.995,0.24476,1.20931,0.73208,5.9004e-05,5.9004e-05,5.9004e-05
